stata,scipy,scipy_jac,cvxpy
896.0000299999999,41.93925857543945,27.933835983276367,18.488407135009766
902.00001,36.156415939331055,20.897388458251953,16.941070556640625
884.0,36.856651306152344,20.9500789642334,15.012502670288086
874.0000100000001,32.52077102661133,20.49422264099121,14.978170394897461
853.9999700000001,31.9674015045166,19.48094367980957,15.012264251708984
906.0000200000001,35.971641540527344,19.978046417236328,15.048503875732422
875.9999899999999,31.99601173400879,21.3620662689209,14.130592346191406
925.00001,33.467769622802734,19.98138427734375,15.928030014038086
903.99998,32.87839889526367,19.985675811767578,14.920711517333984
874.0000100000001,32.833099365234375,21.044254302978516,14.043569564819336
903.0,31.867504119873047,21.938085556030273,14.690160751342773
870.9999899999999,31.913042068481445,20.07293701171875,15.072345733642578
907.99999,31.82673454284668,19.88506317138672,15.00248908996582
887.00002,34.03353691101074,20.961284637451172,14.990091323852539
873.00003,32.95445442199707,23.96416664123535,14.114618301391602
887.00002,33.86211395263672,20.89214324951172,14.058351516723633
865.0000100000001,31.80718421936035,21.016597747802734,15.962362289428711
866.0,35.16125679016113,21.31199836730957,14.976024627685547
875.0,33.06007385253906,20.75791358947754,15.305042266845703
859.00003,32.01723098754883,19.985437393188477,14.955282211303711
898.0,33.01596641540527,20.019054412841797,13.975858688354492
861.99999,34.201622009277344,19.95563507080078,16.072988510131836
869.00002,32.009124755859375,20.94101905822754,14.779090881347656
901.0000200000001,31.990528106689453,20.57671546936035,13.99850845336914
890.99997,32.81712532043457,20.153284072875977,13.993263244628906
904.99997,35.021066665649414,20.000457763671875,14.911174774169922
885.99998,31.898021697998047,21.175861358642578,14.525413513183594
875.9999899999999,32.90414810180664,20.006418228149414,14.040708541870117
890.99997,31.47411346435547,19.90032196044922,14.964818954467773
889.9999899999999,33.705949783325195,21.951913833618164,16.031980514526367
864.00002,32.75108337402344,21.916627883911133,15.081644058227539
871.99998,32.67025947570801,21.956682205200195,15.022754669189453
991.0,31.857728958129883,19.987821578979492,15.407085418701172
1135.0,32.9897403717041,22.797822952270508,15.072345733642578
1008.0,36.96894645690918,22.708892822265625,15.959501266479492
1178.0,32.96971321105957,20.935535430908203,14.976024627685547
975.00002,32.93561935424805,20.97487449645996,15.015602111816406
958.99999,33.13636779785156,20.038604736328125,14.004945755004883
971.00002,30.9140682220459,21.08454704284668,14.960765838623047
930.00001,31.97789192199707,19.64569091796875,14.034748077392578
