initial_guess,level,require_v_sum,optimiser,loss_type,constraint_strictness,loss,time
reg,nested,TRUE,SLSQP,l2,0.05,7.54108769,2.085115433
equal,nested,FALSE,SLSQP,RSS,1.00E-08,57.8798894,3.441253424
equal,nested,FALSE,L-BFGS-B,RSS,0,58.54751681,13.10325456
equal,single,TRUE,SLSQP,l2,1.00E-08,28.46236729,0.007098198
equal,single,FALSE,SLSQP,RSS,0.05,810.1063518,0.006650686
reg,nested,TRUE,SLSQP,l2,1.00E-08,7.563813219,1.950299263
reg,nested,FALSE,SLSQP,RSS,0.01,56.03416174,2.341174126
reg,nested,TRUE,SLSQP,l2,0.05,7.54108769,2.086462021
equal,nested,TRUE,SLSQP,RSS,0.01,57.10698019,5.852211475
equal,nested,FALSE,Nelder-Mead,l2,1.00E-08,7.659511007,3.380791426
reg,nested,FALSE,Nelder-Mead,l2,0,7.5740208,2.369156599
reg,single,FALSE,SLSQP,l2,1.00E-08,8.470355973,0.006915331
reg,single,TRUE,SLSQP,l2,1.00E-08,8.470355973,0.007115364
reg,single,TRUE,SLSQP,l2,1.00E-08,8.470355973,0.006868124
equal,single,FALSE,SLSQP,RSS,1.00E-08,810.1063518,0.006695032
equal,single,TRUE,SLSQP,l2,0.05,28.46236729,0.006878376
equal,single,TRUE,SLSQP,l2,0,28.46236729,0.007028341
reg,nested,FALSE,SLSQP,l2,0,7.500923927,4.176318884
equal,nested,FALSE,Nelder-Mead,RSS,0.01,58.66785485,3.546658039
equal,single,FALSE,SLSQP,RSS,1.00E-08,810.1063518,0.006538153
equal,nested,FALSE,L-BFGS-B,l2,0.05,21.3247176,4.044930696
equal,single,FALSE,SLSQP,l2,0.01,28.46236729,0.006981134
equal,nested,FALSE,SLSQP,l2,0.05,7.598807427,3.467752218
reg,single,FALSE,SLSQP,l2,0,8.470355973,0.006780863
equal,nested,TRUE,SLSQP,l2,1.00E-08,24.48604136,0.407865047
reg,single,FALSE,SLSQP,RSS,0.01,71.74693031,0.006759644
equal,nested,TRUE,SLSQP,RSS,0.05,58.53013777,2.790462255
reg,nested,FALSE,SLSQP,RSS,0.01,56.03416174,2.318972111
equal,nested,FALSE,L-BFGS-B,l2,0,7.540900527,12.34554052
equal,nested,FALSE,SLSQP,RSS,0.01,58.1811146,6.036603689
reg,single,TRUE,SLSQP,RSS,0.01,71.74693031,0.006953478
reg,nested,FALSE,SLSQP,RSS,1.00E-08,56.61356808,4.22982502
reg,single,FALSE,SLSQP,l2,0.05,8.470355973,0.006899118
equal,nested,FALSE,Nelder-Mead,l2,0,11.21861865,3.265985489
reg,single,FALSE,SLSQP,l2,1.00E-08,8.470355973,0.007185221
equal,nested,FALSE,L-BFGS-B,RSS,0,58.54751681,13.14916825
reg,single,TRUE,SLSQP,RSS,0.01,71.74693031,0.00704217
reg,single,TRUE,SLSQP,RSS,1.00E-08,71.74693031,0.00693512
equal,nested,TRUE,SLSQP,l2,0.01,7.936583402,6.780036688
equal,nested,FALSE,L-BFGS-B,l2,0.01,22.65148802,3.690228224
reg,nested,FALSE,Nelder-Mead,l2,1.00E-08,7.5740208,2.375144243
reg,nested,TRUE,SLSQP,RSS,0,58.21165774,1.881746292
reg,nested,FALSE,L-BFGS-B,RSS,0.05,70.30052628,3.714643717
equal,nested,FALSE,SLSQP,RSS,0.01,58.1811146,6.125749111
reg,nested,FALSE,SLSQP,RSS,1.00E-08,56.61356808,4.19726038
equal,nested,FALSE,L-BFGS-B,l2,0.05,21.3247176,4.100682974
