initial_guess,level,require_v_sum,optimiser,loss_type,constraint_strictness,loss,time
equal,single,FALSE,SLSQP,RSS,0.05,810.1063518,0.00609231
reg,nested,FALSE,L-BFGS-B,l2,0,7.652995222,5.097754717
equal,nested,FALSE,L-BFGS-B,l2,1.00E-08,21.46601745,4.392331839
reg,nested,FALSE,L-BFGS-B,RSS,0.01,58.59964392,6.274791002
equal,nested,FALSE,SLSQP,RSS,0,58.53660259,4.353387833
equal,single,TRUE,SLSQP,RSS,0,810.1063518,0.006371975
equal,nested,FALSE,SLSQP,l2,0,7.647626465,3.252734661
equal,nested,FALSE,SLSQP,RSS,0.05,58.68622168,3.983648777
equal,nested,FALSE,L-BFGS-B,l2,0.05,21.3247176,4.025581837
equal,single,FALSE,SLSQP,l2,0.05,28.46236729,0.00612545
equal,single,FALSE,SLSQP,RSS,0,810.1063518,0.006074667
equal,single,FALSE,SLSQP,l2,0.05,28.46236729,0.006089926
reg,single,FALSE,SLSQP,l2,0.01,8.470355973,0.005976677
equal,single,FALSE,SLSQP,l2,0.05,28.46236729,0.006076574
equal,nested,TRUE,SLSQP,RSS,1.00E-08,670.8734763,0.321633816
reg,nested,FALSE,L-BFGS-B,RSS,1.00E-08,58.47789009,4.872616053
equal,nested,FALSE,Nelder-Mead,l2,0.01,7.659511007,3.359168768
equal,nested,TRUE,SLSQP,RSS,1.00E-08,670.8734763,0.322041273
reg,single,TRUE,SLSQP,RSS,0,71.74693031,0.00633502
reg,nested,FALSE,Nelder-Mead,l2,1.00E-08,7.5740208,2.360446692
reg,nested,FALSE,SLSQP,l2,0.05,7.542194938,2.016336203
reg,single,FALSE,SLSQP,RSS,0.05,71.74693031,0.006073475
reg,single,TRUE,SLSQP,l2,0,8.470355973,0.006232977
reg,single,TRUE,SLSQP,l2,1.00E-08,8.470355973,0.006237507
reg,nested,FALSE,L-BFGS-B,l2,1.00E-08,7.547643914,15.35818052
equal,nested,FALSE,SLSQP,RSS,0.01,58.1811146,6.029969215
equal,nested,TRUE,SLSQP,l2,0.01,7.936583402,6.786160707
equal,nested,FALSE,Nelder-Mead,RSS,0.05,58.66785485,3.546457529
equal,nested,FALSE,Nelder-Mead,RSS,0.01,58.66785485,3.532203913
reg,nested,FALSE,SLSQP,RSS,1.00E-08,56.61356808,4.191379309
reg,nested,FALSE,Nelder-Mead,l2,1.00E-08,7.574013434,2.664236307
reg,nested,FALSE,SLSQP,RSS,0.05,58.14911159,0.844739437
reg,nested,FALSE,L-BFGS-B,l2,0,7.652994996,5.737987518
reg,nested,FALSE,SLSQP,l2,1.00E-08,7.547317857,1.711084127
reg,nested,FALSE,L-BFGS-B,RSS,0,57.20018752,16.61760998
reg,nested,TRUE,SLSQP,RSS,0,56.51005731,6.640703917
equal,nested,FALSE,Nelder-Mead,RSS,1.00E-08,58.66785485,3.569758654
equal,single,FALSE,SLSQP,l2,1.00E-08,28.46236729,0.006001234
equal,single,TRUE,SLSQP,RSS,0,810.1063518,0.006149769
reg,single,TRUE,SLSQP,RSS,0,71.74693031,0.006166458
equal,single,FALSE,SLSQP,l2,0,28.46236729,0.006057978
reg,nested,TRUE,SLSQP,l2,0.05,7.54108769,2.067957878
equal,single,FALSE,SLSQP,l2,0.05,28.46236729,0.00611043
reg,single,TRUE,SLSQP,RSS,0.01,71.74693031,0.006275654
equal,nested,FALSE,Nelder-Mead,l2,0,11.21861865,3.273247242
equal,nested,TRUE,SLSQP,l2,1.00E-08,24.48604136,0.402501106
reg,nested,FALSE,L-BFGS-B,l2,0.05,7.665186397,5.626849174
equal,nested,FALSE,SLSQP,l2,0.01,7.66425865,4.135610342
reg,single,TRUE,SLSQP,l2,0.05,8.470355973,0.006349325
reg,nested,FALSE,L-BFGS-B,l2,0,7.652994965,5.125393152
reg,single,TRUE,SLSQP,RSS,0.05,71.74693031,0.006302595
equal,nested,FALSE,L-BFGS-B,l2,0,7.540900365,12.3647058
reg,nested,TRUE,SLSQP,l2,1.00E-08,7.563813219,1.948964119
reg,nested,FALSE,SLSQP,l2,0,7.500923927,4.153839827
reg,single,FALSE,SLSQP,RSS,0.05,71.74693031,0.00607276
equal,single,TRUE,SLSQP,RSS,0,810.1063518,0.006677866
equal,single,TRUE,SLSQP,l2,0.01,28.46236729,0.006695509
equal,nested,FALSE,SLSQP,l2,0.01,7.66425865,4.192782164
equal,single,TRUE,SLSQP,l2,0.05,28.46236729,0.006393433
reg,nested,FALSE,SLSQP,l2,1.00E-08,7.547317857,1.725600958
reg,nested,FALSE,SLSQP,RSS,1.00E-08,56.61356808,4.20358777
equal,nested,TRUE,SLSQP,l2,0.05,8.645206725,6.701347828
reg,nested,TRUE,SLSQP,l2,1.00E-08,7.563813219,1.953672171
equal,single,FALSE,SLSQP,RSS,0,810.1063518,0.006173849
equal,single,TRUE,SLSQP,l2,0.01,28.46236729,0.006394863
equal,nested,TRUE,SLSQP,RSS,0.05,58.53013777,2.815171242
equal,nested,FALSE,Nelder-Mead,l2,0.01,7.659511007,3.375942469
reg,nested,FALSE,L-BFGS-B,l2,0,7.652994965,5.123933315
reg,nested,FALSE,Nelder-Mead,RSS,0,57.36416481,2.854643106
equal,single,TRUE,SLSQP,RSS,1.00E-08,810.1063518,0.006289244
reg,nested,FALSE,L-BFGS-B,RSS,0.01,58.59964132,7.850891829
reg,nested,FALSE,L-BFGS-B,RSS,0.01,58.59964132,7.830563068
reg,single,FALSE,SLSQP,l2,0.05,8.470355973,0.006097317
equal,single,FALSE,SLSQP,l2,0.05,28.46236729,0.006062269
equal,nested,TRUE,SLSQP,l2,1.00E-08,24.48604136,0.412673235
equal,single,FALSE,SLSQP,l2,1.00E-08,28.46236729,0.006223679
reg,single,TRUE,SLSQP,RSS,1.00E-08,71.74693031,0.006290913
reg,nested,TRUE,SLSQP,l2,0.05,7.54108769,2.098372221
equal,nested,FALSE,SLSQP,RSS,1.00E-08,57.8798894,3.438626051
equal,nested,FALSE,SLSQP,l2,0,7.647617093,3.53235364
reg,nested,FALSE,Nelder-Mead,RSS,0.05,57.36416481,2.872836113
reg,nested,FALSE,Nelder-Mead,RSS,0.05,57.36416481,2.87897253
reg,nested,TRUE,SLSQP,RSS,0,58.21165774,1.905821085
reg,nested,FALSE,SLSQP,l2,1.00E-08,7.547317857,1.745085955
reg,nested,FALSE,L-BFGS-B,l2,1.00E-08,7.547643914,15.45622945
equal,nested,FALSE,L-BFGS-B,l2,0,7.540900527,12.46065021
reg,single,TRUE,SLSQP,l2,0,8.470355973,0.00633049
reg,nested,TRUE,SLSQP,l2,0,7.56918366,3.788752079
reg,nested,FALSE,SLSQP,l2,0.01,7.501115461,2.159626245
equal,nested,FALSE,SLSQP,RSS,0.05,58.68622168,4.05730772
equal,nested,FALSE,Nelder-Mead,RSS,0.05,58.66785485,3.554212093
equal,single,FALSE,SLSQP,l2,0,28.46236729,0.006388903
equal,nested,FALSE,L-BFGS-B,l2,1.00E-08,21.46601745,4.438404322
reg,nested,TRUE,SLSQP,RSS,0.05,57.8675491,1.285990477
equal,nested,FALSE,SLSQP,RSS,0.01,58.1811146,6.073621511
equal,nested,FALSE,L-BFGS-B,RSS,1.00E-08,77.87015293,6.143922806
reg,nested,FALSE,L-BFGS-B,l2,0.05,7.66523558,4.361380577
reg,nested,FALSE,SLSQP,RSS,0.05,58.14911159,0.847202539
equal,single,TRUE,SLSQP,RSS,1.00E-08,810.1063518,0.006629229
reg,nested,TRUE,SLSQP,RSS,1.00E-08,57.3720952,2.950821877
equal,nested,TRUE,SLSQP,l2,0,7.553077746,4.661872864
equal,single,FALSE,SLSQP,RSS,0.01,810.1063518,0.005967855
equal,nested,FALSE,L-BFGS-B,RSS,0.05,1000000,6.40990901
equal,single,TRUE,SLSQP,l2,0.01,28.46236729,0.00634551
reg,single,FALSE,SLSQP,l2,1.00E-08,8.470355973,0.006182432
equal,nested,FALSE,Nelder-Mead,l2,1.00E-08,7.659511007,3.367627621
equal,nested,FALSE,L-BFGS-B,RSS,0.05,1000000,6.435619116
equal,nested,FALSE,Nelder-Mead,RSS,0,125.8508852,4.028770447
reg,nested,FALSE,L-BFGS-B,l2,0.01,7.656402788,7.657730579
equal,nested,FALSE,L-BFGS-B,RSS,0,58.54751681,13.15456891
equal,nested,FALSE,L-BFGS-B,RSS,1.00E-08,77.87015293,6.147517443
reg,nested,FALSE,SLSQP,l2,0,7.500923927,4.129461288
equal,nested,FALSE,L-BFGS-B,RSS,1.00E-08,77.87015293,6.148177624
equal,nested,FALSE,L-BFGS-B,l2,1.00E-08,21.46601745,4.409468889
reg,nested,FALSE,L-BFGS-B,l2,0,7.652994965,5.108609915
equal,nested,TRUE,SLSQP,l2,0.05,8.645206725,6.815092564
reg,nested,FALSE,L-BFGS-B,l2,0,7.652994965,5.121091366
reg,single,TRUE,SLSQP,l2,0.01,8.470355973,0.006384134
reg,nested,FALSE,Nelder-Mead,l2,0,7.5740208,2.345700979
reg,nested,FALSE,Nelder-Mead,l2,0.01,7.573799106,2.594421387
reg,nested,TRUE,SLSQP,l2,0,7.56918366,3.775618553
reg,nested,FALSE,L-BFGS-B,l2,0.05,7.66523558,4.377539158
reg,nested,FALSE,Nelder-Mead,l2,0.01,7.5740208,2.361605406
equal,nested,TRUE,SLSQP,RSS,0,56.3561224,6.541800499
reg,nested,FALSE,Nelder-Mead,l2,0,7.5740208,2.381895065
reg,nested,FALSE,SLSQP,l2,0,7.500923927,4.14758563
reg,single,FALSE,SLSQP,l2,1.00E-08,8.470355973,0.006051064
equal,nested,TRUE,SLSQP,RSS,0.01,57.10698019,5.897450924
equal,nested,FALSE,Nelder-Mead,l2,0,11.21861865,3.297501326
reg,nested,FALSE,L-BFGS-B,l2,0.05,7.66523558,4.348165512
equal,single,TRUE,SLSQP,RSS,1.00E-08,810.1063518,0.006385565
equal,single,TRUE,SLSQP,l2,0,28.46236729,0.00633955
reg,nested,FALSE,SLSQP,RSS,0,59.726042,1.594763517
reg,nested,FALSE,SLSQP,l2,0,7.500923927,4.188874722
reg,nested,FALSE,Nelder-Mead,RSS,1.00E-08,57.36416481,2.851787567
reg,nested,TRUE,SLSQP,RSS,0.05,57.8675491,1.287489891
reg,nested,FALSE,L-BFGS-B,RSS,1.00E-08,57.03087509,4.235556364
equal,nested,FALSE,Nelder-Mead,RSS,0.01,58.66785485,3.58032465
reg,nested,FALSE,SLSQP,l2,1.00E-08,7.547317857,1.711630583
reg,nested,TRUE,SLSQP,RSS,1.00E-08,57.3720952,2.950216055
reg,nested,FALSE,Nelder-Mead,l2,0,7.5740208,2.369509935
reg,single,FALSE,SLSQP,RSS,0.01,71.74693031,0.00609827
reg,single,FALSE,SLSQP,l2,0,8.470355973,0.006139994
reg,nested,FALSE,SLSQP,l2,0,7.500923927,4.12660718
equal,single,TRUE,SLSQP,RSS,0,810.1063518,0.006355047
reg,nested,FALSE,L-BFGS-B,l2,0.05,7.66523558,4.374349117
reg,nested,TRUE,SLSQP,l2,0,7.56918366,3.767885208
equal,nested,FALSE,L-BFGS-B,l2,0,7.540900527,12.32527518
equal,nested,FALSE,Nelder-Mead,l2,0,11.22007489,2.380455256
reg,single,FALSE,SLSQP,l2,0.01,8.470355973,0.006093502
equal,single,FALSE,SLSQP,RSS,0.01,810.1063518,0.005963326
reg,nested,FALSE,L-BFGS-B,l2,0,7.652994965,5.136256456
equal,nested,FALSE,L-BFGS-B,l2,0.01,22.65148802,3.702836752
equal,single,TRUE,SLSQP,l2,0,28.46236729,0.006249428
equal,nested,FALSE,Nelder-Mead,RSS,0.05,58.66785485,3.576604605
reg,nested,FALSE,Nelder-Mead,RSS,0.05,57.36416481,2.865521193
reg,single,FALSE,SLSQP,RSS,0,71.74693031,0.006138325
reg,nested,FALSE,L-BFGS-B,RSS,0,57.20240279,15.605932
equal,nested,FALSE,L-BFGS-B,RSS,0.05,1000000,6.44740963
reg,nested,FALSE,L-BFGS-B,RSS,0.01,58.59964132,7.838999271
reg,single,FALSE,SLSQP,l2,0,8.470355973,0.00618434
equal,nested,FALSE,L-BFGS-B,RSS,0.05,1000000,6.445658207
reg,nested,FALSE,Nelder-Mead,RSS,0,57.36416481,2.879623652
reg,nested,TRUE,SLSQP,RSS,0.01,56.6656409,3.162377357
equal,nested,FALSE,Nelder-Mead,l2,0.05,7.659511007,3.383531332
equal,single,FALSE,SLSQP,l2,0,28.46236729,0.006104946
reg,nested,TRUE,SLSQP,l2,0.05,7.54108769,2.101569653
equal,nested,FALSE,SLSQP,RSS,0.05,58.68622168,4.009682894
reg,nested,FALSE,SLSQP,l2,1.00E-08,7.547317857,1.720448256
reg,nested,FALSE,L-BFGS-B,l2,0.01,7.656402788,7.735870123
reg,nested,TRUE,SLSQP,l2,0.01,7.540234385,3.245253563
reg,single,TRUE,SLSQP,RSS,0.05,71.74693031,0.006257772
reg,nested,TRUE,SLSQP,RSS,0.05,57.8675491,1.279447317
reg,single,FALSE,SLSQP,l2,0,8.470355973,0.006156683
equal,single,TRUE,SLSQP,RSS,0,810.1063518,0.006198645
equal,nested,FALSE,SLSQP,RSS,1.00E-08,57.8798894,3.443338394
equal,nested,FALSE,Nelder-Mead,RSS,0,125.850914,4.046303272
equal,single,FALSE,SLSQP,RSS,0.05,810.1063518,0.005979061
equal,nested,FALSE,Nelder-Mead,RSS,1.00E-08,58.66785485,3.554378271
equal,single,FALSE,SLSQP,RSS,0.01,810.1063518,0.00608778
reg,nested,FALSE,L-BFGS-B,l2,1.00E-08,7.547643914,15.48312497
equal,single,TRUE,SLSQP,l2,1.00E-08,28.46236729,0.006245375
equal,single,FALSE,SLSQP,l2,0.01,28.46236729,0.006158352
equal,nested,FALSE,Nelder-Mead,RSS,0.05,58.66785485,3.594679117
equal,single,FALSE,SLSQP,l2,0,28.46236729,0.006170511
equal,single,TRUE,SLSQP,RSS,0.01,810.1063518,0.006333113
equal,nested,FALSE,SLSQP,l2,1.00E-08,7.62905256,5.300646544
reg,nested,FALSE,SLSQP,RSS,0.05,58.14911159,0.850415468
reg,nested,FALSE,Nelder-Mead,RSS,0.01,57.36416481,2.853308201
reg,nested,FALSE,SLSQP,RSS,1.00E-08,56.61356808,4.23118186
equal,nested,FALSE,L-BFGS-B,l2,1.00E-08,21.46601745,4.411682606
reg,nested,FALSE,Nelder-Mead,l2,0,7.5740208,2.377852917
equal,single,FALSE,SLSQP,l2,1.00E-08,28.46236729,0.006051779
equal,single,FALSE,SLSQP,RSS,0.05,810.1063518,0.006116152
equal,nested,FALSE,L-BFGS-B,RSS,0.05,1000000,6.43350172
equal,single,TRUE,SLSQP,RSS,1.00E-08,810.1063518,0.006368399
equal,single,TRUE,SLSQP,RSS,1.00E-08,810.1063518,0.006281853
reg,single,FALSE,SLSQP,l2,1.00E-08,8.470355973,0.006106377
equal,nested,FALSE,Nelder-Mead,RSS,0.05,58.66785485,3.587996244
reg,nested,FALSE,L-BFGS-B,l2,0.01,7.656402788,7.668395519
reg,single,TRUE,SLSQP,RSS,0.01,71.74693031,0.00625968
reg,single,FALSE,SLSQP,l2,0.01,8.470355973,0.006110907
equal,single,FALSE,SLSQP,RSS,0.01,810.1063518,0.006053925
reg,nested,TRUE,SLSQP,l2,1.00E-08,7.563813219,1.964584827
equal,single,FALSE,SLSQP,l2,1.00E-08,28.46236729,0.006053209
equal,nested,FALSE,Nelder-Mead,RSS,0,125.850914,4.100230932
equal,single,TRUE,SLSQP,RSS,1.00E-08,810.1063518,0.006300688
reg,single,FALSE,SLSQP,l2,0.01,8.470355973,0.006190538
reg,single,TRUE,SLSQP,l2,0.05,8.470355973,0.006217957
reg,nested,TRUE,SLSQP,l2,0,7.56918366,3.76863575
equal,nested,FALSE,SLSQP,RSS,1.00E-08,57.8798894,3.44783473
equal,single,FALSE,SLSQP,l2,0.01,28.46236729,0.006302357
reg,single,FALSE,SLSQP,l2,0.05,8.470355973,0.006046295
reg,nested,FALSE,L-BFGS-B,l2,0.01,7.656402788,7.731561184
equal,single,TRUE,SLSQP,RSS,0.05,810.1063518,0.006212234
equal,single,TRUE,SLSQP,RSS,0.05,810.1063518,0.006374359
reg,single,TRUE,SLSQP,l2,0,8.470355973,0.006272793
equal,nested,FALSE,L-BFGS-B,RSS,0.01,380.162874,8.148828745
equal,nested,FALSE,L-BFGS-B,l2,1.00E-08,21.46601745,4.399312496
reg,nested,FALSE,L-BFGS-B,RSS,1.00E-08,58.47858369,6.15215683
equal,nested,FALSE,Nelder-Mead,l2,0.05,7.659511007,3.350545168
reg,single,FALSE,SLSQP,l2,1.00E-08,8.470355973,0.006088734
reg,nested,FALSE,L-BFGS-B,RSS,0.01,58.59964132,7.857402563
reg,nested,FALSE,Nelder-Mead,l2,1.00E-08,7.5740208,2.391519785
reg,nested,TRUE,SLSQP,l2,1.00E-08,7.563813219,1.949249983
equal,nested,FALSE,L-BFGS-B,RSS,0,58.54751681,13.10549593
reg,nested,FALSE,SLSQP,RSS,1.00E-08,56.61356808,4.243782759
reg,single,TRUE,SLSQP,l2,1.00E-08,8.470355973,0.006247044
equal,nested,FALSE,SLSQP,RSS,0.01,58.1811146,6.096926689
equal,single,FALSE,SLSQP,l2,0.05,28.46236729,0.00619483
reg,single,FALSE,SLSQP,l2,0,8.470355973,0.006198168
reg,nested,FALSE,SLSQP,l2,0.01,7.501115461,2.160507202
reg,nested,FALSE,SLSQP,RSS,1.00E-08,56.61356808,4.265590191
equal,single,TRUE,SLSQP,l2,0.05,28.46236729,0.006309032
reg,nested,FALSE,Nelder-Mead,l2,0,7.5740208,2.398484468
reg,single,FALSE,SLSQP,l2,0,8.470355973,0.006105661
equal,nested,TRUE,SLSQP,l2,0,7.553077746,4.71863842
equal,nested,FALSE,Nelder-Mead,RSS,0.01,58.66785485,3.582665682
reg,nested,FALSE,SLSQP,l2,0.05,7.541461701,1.876816511
reg,nested,FALSE,L-BFGS-B,l2,1.00E-08,7.547643914,15.53251338
equal,nested,FALSE,SLSQP,l2,0,7.647617093,3.53553462
reg,nested,TRUE,SLSQP,RSS,0,58.21165774,1.907113314
reg,nested,FALSE,SLSQP,RSS,1.00E-08,56.61356808,4.252714634
equal,nested,FALSE,SLSQP,l2,1.00E-08,7.62905256,5.297276974
reg,nested,FALSE,SLSQP,RSS,0.05,58.14911159,0.850106239
reg,single,TRUE,SLSQP,l2,0.01,8.470355973,0.006262779
reg,nested,FALSE,Nelder-Mead,l2,1.00E-08,7.5740208,2.38974905
reg,nested,FALSE,L-BFGS-B,RSS,1.00E-08,58.47858216,5.211281061
equal,single,FALSE,SLSQP,l2,1.00E-08,28.46236729,0.006127357
equal,nested,FALSE,L-BFGS-B,RSS,1.00E-08,77.87015293,6.12241292
reg,nested,FALSE,Nelder-Mead,l2,0.05,7.5740208,2.366707802
equal,single,TRUE,SLSQP,RSS,0,810.1063518,0.006283998
equal,single,FALSE,SLSQP,l2,0.01,28.46236729,0.005952597
reg,single,FALSE,SLSQP,l2,0.05,8.470355973,0.006106853
equal,single,FALSE,SLSQP,l2,0,28.46236729,0.006136179
reg,single,TRUE,SLSQP,RSS,1.00E-08,71.74693031,0.006198168
equal,nested,FALSE,L-BFGS-B,l2,0.01,22.65148802,3.687571526
reg,single,FALSE,SLSQP,l2,0.01,8.470355973,0.006048441
reg,single,TRUE,SLSQP,RSS,1.00E-08,71.74693031,0.006157875
equal,single,TRUE,SLSQP,l2,0.05,28.46236729,0.006189585
equal,nested,TRUE,SLSQP,RSS,0,56.37413839,6.878687859
equal,nested,FALSE,L-BFGS-B,l2,0.01,22.65148802,3.679740429
reg,nested,TRUE,SLSQP,l2,0,7.56918366,3.773458958
equal,nested,FALSE,L-BFGS-B,l2,0.05,21.3247176,4.044427633
equal,nested,TRUE,SLSQP,l2,0,7.538538078,6.469732523
equal,nested,FALSE,L-BFGS-B,l2,0,7.540900527,12.35962009
reg,nested,FALSE,Nelder-Mead,RSS,0.05,57.36416481,2.886824369
equal,nested,FALSE,Nelder-Mead,RSS,0,125.850914,4.069896698
equal,nested,TRUE,SLSQP,RSS,1.00E-08,670.8734763,0.325293303
equal,nested,FALSE,SLSQP,RSS,1.00E-08,57.8798894,3.430818796
equal,single,FALSE,SLSQP,l2,0.01,28.46236729,0.00610137
equal,single,FALSE,SLSQP,l2,0,28.46236729,0.006104231
reg,nested,FALSE,L-BFGS-B,RSS,0.01,58.59964132,7.821508646
reg,single,TRUE,SLSQP,l2,1.00E-08,8.470355973,0.006319046
equal,nested,TRUE,SLSQP,l2,0.01,7.936583402,6.842749119
reg,single,FALSE,SLSQP,RSS,0.01,71.74693031,0.006050348
equal,nested,TRUE,SLSQP,RSS,0,56.37413839,6.874895334
equal,single,TRUE,SLSQP,RSS,0.05,810.1063518,0.006224632
equal,nested,FALSE,Nelder-Mead,l2,0,11.21861865,3.306371212
equal,nested,TRUE,SLSQP,l2,0.01,7.936583402,6.832873106
equal,nested,FALSE,L-BFGS-B,l2,0.05,21.3247176,4.049037457
reg,nested,FALSE,Nelder-Mead,RSS,0.05,57.36416481,2.842315674
equal,single,FALSE,SLSQP,RSS,0.05,810.1063518,0.006028175
reg,nested,FALSE,Nelder-Mead,RSS,0.05,57.36416481,2.879058599
equal,nested,FALSE,Nelder-Mead,RSS,0,125.850914,4.108575344
reg,nested,FALSE,SLSQP,l2,0.05,7.541461701,1.873977184
reg,nested,FALSE,L-BFGS-B,l2,0.01,7.656402788,7.752555132
equal,nested,FALSE,L-BFGS-B,l2,0.05,21.3247176,4.076124191
reg,nested,FALSE,Nelder-Mead,RSS,0.01,57.36416481,2.882228613
equal,nested,FALSE,L-BFGS-B,RSS,1.00E-08,77.87015293,6.14883399
equal,nested,FALSE,SLSQP,l2,0.01,7.66425865,4.195968866
reg,single,TRUE,SLSQP,l2,1.00E-08,8.470355973,0.006327868
equal,nested,FALSE,L-BFGS-B,l2,0,7.540900527,12.42891693
equal,single,TRUE,SLSQP,RSS,0,810.1063518,0.00626421
reg,nested,FALSE,SLSQP,l2,0.01,7.501115461,2.154660702
reg,nested,FALSE,L-BFGS-B,l2,0,7.652994965,5.090710878
equal,nested,TRUE,SLSQP,RSS,0.05,58.53013777,2.807584763
equal,nested,TRUE,SLSQP,l2,0,7.553077746,4.740283966
equal,single,TRUE,SLSQP,RSS,0,810.1063518,0.006416559
reg,single,TRUE,SLSQP,l2,0.01,8.470355973,0.006314278
reg,single,FALSE,SLSQP,l2,0.05,8.470355973,0.005928516
equal,nested,FALSE,L-BFGS-B,l2,0.01,22.65148802,3.70610404
equal,single,FALSE,SLSQP,RSS,1.00E-08,810.1063518,0.005968809
equal,nested,FALSE,L-BFGS-B,RSS,1.00E-08,77.87015293,6.174822092
equal,nested,TRUE,SLSQP,RSS,1.00E-08,670.8734763,0.325531721
equal,nested,TRUE,SLSQP,l2,0.05,8.645206725,6.680213928
reg,nested,FALSE,Nelder-Mead,l2,0.05,7.5740208,2.358963966
reg,nested,FALSE,SLSQP,l2,1.00E-08,7.547317857,1.720144749
reg,nested,TRUE,SLSQP,l2,0,7.56918366,3.717610836
reg,single,TRUE,SLSQP,RSS,0.05,71.74693031,0.006203413
equal,nested,FALSE,SLSQP,l2,0,7.647617093,3.488410473
reg,nested,FALSE,L-BFGS-B,l2,1.00E-08,7.547643914,15.48450232
reg,single,TRUE,SLSQP,RSS,1.00E-08,71.74693031,0.006259203
equal,nested,FALSE,L-BFGS-B,l2,0.01,22.65148802,3.70362401
equal,single,FALSE,SLSQP,RSS,0.05,810.1063518,0.006029844
equal,single,FALSE,SLSQP,RSS,0.01,810.1063518,0.006088734
reg,nested,FALSE,Nelder-Mead,RSS,1.00E-08,57.36416481,2.8807621
equal,nested,FALSE,SLSQP,l2,1.00E-08,7.62905256,5.334929943
equal,nested,FALSE,SLSQP,RSS,0.05,58.68622168,4.028790712
equal,nested,FALSE,SLSQP,RSS,0,58.53660259,4.359403372
equal,nested,FALSE,L-BFGS-B,RSS,1.00E-08,77.87015293,6.113973618
reg,nested,FALSE,SLSQP,RSS,0.01,56.03416174,2.339282274
equal,single,TRUE,SLSQP,RSS,0.01,810.1063518,0.006334782
reg,single,TRUE,SLSQP,l2,0,8.470355973,0.006298304
reg,nested,TRUE,SLSQP,RSS,0,58.21165774,1.899221182
equal,nested,FALSE,SLSQP,RSS,0.01,58.1811146,6.076254129
equal,nested,TRUE,SLSQP,l2,0.05,8.645206725,6.676445246
equal,nested,FALSE,Nelder-Mead,RSS,0.05,58.66785485,3.560388327
equal,nested,TRUE,SLSQP,RSS,1.00E-08,670.8734763,0.325223684
equal,single,FALSE,SLSQP,l2,1.00E-08,28.46236729,0.006097555
reg,single,FALSE,SLSQP,l2,0,8.470355973,0.006305695
equal,nested,TRUE,SLSQP,l2,0.01,7.936583402,6.836009502
reg,single,FALSE,SLSQP,RSS,0.01,71.74693031,0.006038427
equal,nested,TRUE,SLSQP,l2,0,7.553077746,4.70331502
reg,single,TRUE,SLSQP,RSS,1.00E-08,71.74693031,0.006347418
reg,nested,FALSE,SLSQP,RSS,0,59.726042,1.613514662
reg,single,FALSE,SLSQP,RSS,0,71.74693031,0.006049156
equal,nested,FALSE,L-BFGS-B,RSS,0.05,1000000,6.41073823
reg,nested,FALSE,L-BFGS-B,l2,1.00E-08,7.547651126,15.06821322
reg,nested,FALSE,L-BFGS-B,RSS,0.05,70.30052628,3.661092758
equal,nested,FALSE,L-BFGS-B,RSS,0,58.54386097,9.931866884
reg,single,FALSE,SLSQP,l2,0.01,8.470355973,0.006044149
equal,nested,FALSE,SLSQP,RSS,0,58.53660259,4.37823534
equal,nested,FALSE,L-BFGS-B,l2,0,7.543969238,12.16996503
equal,nested,TRUE,SLSQP,RSS,0,56.3786448,4.377335787
equal,nested,TRUE,SLSQP,l2,0,7.484577104,5.754558563
equal,nested,TRUE,SLSQP,l2,0.01,7.936583402,6.758509159
reg,single,TRUE,SLSQP,l2,0,8.470355973,0.006206274
reg,nested,FALSE,Nelder-Mead,l2,0,7.574028966,2.540312052
reg,single,FALSE,SLSQP,l2,1.00E-08,8.470355973,0.005989552
reg,single,TRUE,SLSQP,l2,1.00E-08,8.470355973,0.006263018
equal,nested,FALSE,L-BFGS-B,l2,0.01,22.65148802,3.675448179
reg,single,TRUE,SLSQP,l2,1.00E-08,8.470355973,0.006393433
reg,nested,FALSE,L-BFGS-B,RSS,1.00E-08,57.2360727,15.74417949
reg,single,TRUE,SLSQP,RSS,0.01,71.74693031,0.006283283
equal,nested,FALSE,SLSQP,RSS,0.05,58.68622168,4.005685329
reg,nested,TRUE,SLSQP,l2,0.01,7.540234385,3.191889286
equal,nested,FALSE,SLSQP,l2,0,7.647617914,3.446612597
equal,nested,FALSE,SLSQP,RSS,0,58.53660259,4.37108326
reg,nested,FALSE,Nelder-Mead,l2,0.05,7.5740208,2.346889973
equal,nested,FALSE,L-BFGS-B,RSS,1.00E-08,77.87015293,6.089816809
reg,nested,FALSE,SLSQP,l2,0,7.500923927,4.102898121
equal,nested,FALSE,Nelder-Mead,RSS,1.00E-08,58.66785485,3.5331738
reg,single,FALSE,SLSQP,RSS,0,71.74693031,0.006178617
equal,single,TRUE,SLSQP,l2,0.05,28.46236729,0.006308079
reg,single,FALSE,SLSQP,RSS,1.00E-08,71.74693031,0.005940437
reg,single,TRUE,SLSQP,l2,0,8.470355973,0.006158829
reg,nested,FALSE,SLSQP,RSS,0.05,58.14911159,0.839669704
equal,nested,FALSE,SLSQP,l2,1.00E-08,7.62905256,5.242995262
equal,nested,FALSE,L-BFGS-B,l2,0,7.517749842,17.25099087
equal,nested,FALSE,SLSQP,l2,0.05,7.598807427,3.438075066
equal,nested,TRUE,SLSQP,l2,0,15.83142853,1.006862879
reg,nested,FALSE,Nelder-Mead,RSS,0.01,57.36326271,2.929767609
reg,single,TRUE,SLSQP,RSS,0,71.74693031,0.006383896
