month,brk,spx
2016/4/1,2.447200805,2.327117163
2016/5/1,2.365571572,2.366705223
2016/6/1,2.424572578,2.362645137
2016/7/1,2.413677506,2.461548542
2016/8/1,2.522739971,2.464496054
2016/9/1,2.416135881,2.452251956
2016/10/1,2.410325176,2.421909667
2016/11/1,2.648340597,2.511128685
2016/12/1,2.727913733,2.547021119
2017/1/1,2.748687004,2.607880723
2017/2/1,2.872946698,2.71034843
2017/3/1,2.791932059,2.701981281
2017/4/1,2.768800983,2.74067312
2017/5/1,2.776176109,2.779352297
2017/6/1,2.846128059,2.783496221
2017/7/1,2.936484523,2.854561876
2017/8/1,3.03329981,2.862890651
2017/9/1,3.070063694,2.906153561
2017/10/1,3.134093195,2.989396077
2017/11/1,3.25734719,3.08077061
2017/12/1,3.32551123,3.102277079
2018/1/1,3.613532238,3.293869288
2018/2/1,3.466867806,3.174102901
2018/3/1,3.34227288,3.074784025
2018/4/1,3.247848922,3.103053666
2018/5/1,3.209297128,3.178486895
2018/6/1,3.151637054,3.182474586
2018/7/1,3.36965024,3.315194615
2018/8/1,3.528885909,3.421014042
2018/9/1,3.575818527,3.425845557
2018/10/1,3.438428875,3.20354205
2018/11/1,3.642865125,3.262965365
2018/12/1,3.419376467,2.958390328
2019/1/1,3.480835848,3.213914222
2019/2/1,3.376913622,3.318095652
2019/3/1,3.365906805,3.363340841
2019/4/1,3.632584646,3.516161118
2019/5/1,3.319477037,3.291931889
2019/6/1,3.557380713,3.503963288
2019/7/1,3.449167505,3.574241288
2019/8/1,3.386724774,3.514396359
2019/9/1,3.484545759,3.566309801
2019/10/1,3.563962454,3.661974588
2019/11/1,3.6930942,3.794531853
2019/12/1,3.794725668,3.88567956
2020/1/1,3.754564756,3.903207242
2020/2/1,3.453972511,3.594207258
2020/3/1,3.039445748,3.127005953
2020/4/1,3.147837747,3.544806883
2020/5/1,3.113643983,3.713700551
2020/6/1,2.986925914,3.763001264
2020/7/1,3.281159906,4.002147622
2020/8/1,3.66029724,4.281483797
2020/9/1,3.575829702,4.104738916
2020/10/1,3.380265952,4.018414415
2020/11/1,3.840518494,4.455523402
2020/12/1,3.886635378,4.600981316
2021/1/1,3.84512236,4.573508622
2021/2/1,4.073974746,4.700677106
2021/3/1,4.310001117,4.898042514
2021/4/1,4.60945357,5.174091237
2021/5/1,4.872052743,5.208064884
2021/6/1,4.677628785,5.30750478
2021/7/1,4.680969941,5.454861122
2021/8/1,4.803888703,5.617196891
2021/9/1,4.596927031,5.338303688
2021/10/1,4.83743435,5.731159014
2021/11/1,4.658352889,5.685110553
2021/12/1,5.035892278,5.927210552
2022/1/1,5.249804447,5.634327479
2022/2/1,5.321320818,5.468018845
2022/3/1,5.910392223,5.655992553
2022/4/1,5.41222483,5.175600892
2022/5/1,5.297239915,5.187283369
2022/6/1,4.569784333,4.739066577
2022/7/1,5.04749134,5.197831137
2022/8/1,4.707877975,4.985749713
2022/9/1,4.54207174,4.506326252
2022/10/1,4.973181361,4.892596386
2022/11/1,5.366856632,5.164582859
2022/12/1,5.237579618,4.844710409
2023/1/1,5.285506761,5.173027328
2023/2/1,5.179629009,5.042963328
2023/3/1,5.202815957,5.210061004
2023/4/1,5.619398816,5.313493944
2023/5/1,5.45339144,5.338021692
2023/6/1,5.786233099,5.662889005
2023/7/1,5.982791373,5.869977951
2023/8/1,6.109341826,5.774578947
2023/9/1,5.938954073,5.481330027
2023/10/1,5.786400715,5.381252954
2023/11/1,6.100122919,5.87279712
2023/12/1,6.063526651,6.116124778
