date,brk,spx
2023/1/3,1,1
2023/1/4,1.014344284,1.00772029
2023/1/5,1.008806773,0.996218729
2023/1/6,1.026473564,1.019064104
2023/1/9,1.018870135,1.018486486
2023/1/10,1.02107449,1.025628916
2023/1/11,1.030807731,1.038600874
2023/1/12,1.028401044,1.042382309
2023/1/13,1.024484319,1.04642619
2023/1/17,1.013790533,1.044509319
2023/1/18,0.993046164,1.028018537
2023/1/19,0.983866674,1.020534747
2023/1/20,1.000255577,1.039546294
2023/1/23,1.000159736,1.052019307
2023/1/24,1.003141473,1.050890187
2023/1/25,1.004540759,1.051284107
2023/1/26,1.000926468,1.062838057
2023/1/27,1.001011661,1.065280155
2023/1/30,0.990447793,1.051914359
2023/1/31,1.007401097,1.06738097
2023/2/1,1.002302327,1.078724863
2023/2/2,1.005516213,1.094427809
2023/2/3,0.994100421,1.082795106
2023/2/6,0.994622225,1.076177821
2023/2/7,1.010712955,1.090252621
2023/2/8,0.996749907,1.078330946
2023/2/9,0.992535009,1.068982757
2023/2/10,1.005803738,1.071477408
2023/2/13,1.014855439,1.08405553
2023/2/14,1.006336191,1.083556585
2023/2/15,0.99897769,1.087075326
2023/2/16,0.995250519,1.07210766
2023/2/17,0.995416644,1.069429231
2023/2/21,0.976508173,1.047975423
2023/2/22,0.979739098,1.046531219
2023/2/23,0.978382408,1.05209822
2023/2/24,0.98334487,1.040859192
2023/2/27,0.983785741,1.044404291
2023/2/28,0.987221128,1.040544267
2023/3/1,0.984899633,1.036552777
2023/3/2,0.994174964,1.044614347
2023/3/3,1.007946329,1.061367577
2023/3/6,1.022767691,1.06210294
2023/3/7,1.004206379,1.045822217
2023/3/8,1.005275544,1.047529195
2023/3/9,0.981907247,1.028202317
2023/3/10,0.980697513,1.013365959
2023/3/13,0.975560407,1.011921674
2023/3/14,0.983557851,1.028648709
2023/3/15,0.9555849,1.022215203
2023/3/16,0.969809914,1.040150187
2023/3/17,0.94300623,1.027988017
